DEBUG: x=0.069520, struve=0.004787
DEBUG: x=0.069974, struve=0.004850
DEBUG: x=0.070428, struve=0.004913
DEBUG: x=0.070883, struve=0.004977
DEBUG: x=0.071337, struve=0.005041
DEBUG: x=0.071791, struve=0.005105
DEBUG: x=0.072246, struve=0.005170
DEBUG: x=0.072700, struve=0.005235
DEBUG: x=0.073155, struve=0.005301
DEBUG: x=0.073609, struve=0.005367
DEBUG: x=0.074063, struve=0.005434
DEBUG: x=0.074518, struve=0.005500
DEBUG: x=0.074972, struve=0.005568
DEBUG: x=0.075426, struve=0.005635
DEBUG: x=0.075881, struve=0.005703
DEBUG: x=0.076335, struve=0.005772
DEBUG: x=0.076790, struve=0.005841
DEBUG: x=0.077244, struve=0.005910
DEBUG: x=0.077698, struve=0.005980
DEBUG: x=0.078153, struve=0.006050
DEBUG: x=0.078607, struve=0.006120
DEBUG: x=0.079061, struve=0.006191
DEBUG: x=0.079516, struve=0.006263
DEBUG: x=0.079970, struve=0.006334
DEBUG: x=0.080425, struve=0.006407
DEBUG: x=0.080879, struve=0.006479
DEBUG: x=0.081333, struve=0.006552
DEBUG: x=0.081788, struve=0.006625
DEBUG: x=0.082242, struve=0.006699
DEBUG: x=0.082696, struve=0.006773
DEBUG: x=0.083151, struve=0.006848
DEBUG: x=0.083605, struve=0.006923
DEBUG: x=0.084060, struve=0.006998
DEBUG: x=0.084514, struve=0.007074
DEBUG: x=0.084968, struve=0.007151
DEBUG: x=0.085423, struve=0.007227
DEBUG: x=0.085877, struve=0.007304
DEBUG: x=0.086331, struve=0.007382
DEBUG: x=0.086786, struve=0.007460
DEBUG: x=0.087240, struve=0.007538
DEBUG: x=0.087695, struve=0.007617
DEBUG: x=0.088149, struve=0.007696
DEBUG: x=0.088603, struve=0.007775
DEBUG: x=0.089058, struve=0.007855
DEBUG: x=0.089512, struve=0.007935
DEBUG: x=0.089966, struve=0.008016
DEBUG: x=0.090421, struve=0.008097
DEBUG: x=0.090875, struve=0.008179
DEBUG: x=0.091330, struve=0.008261
DEBUG: x=0.091784, struve=0.008343
DEBUG: x=0.092238, struve=0.008426
DEBUG: x=0.092693, struve=0.008509
DEBUG: x=0.093147, struve=0.008593
DEBUG: x=0.093601, struve=0.008677
DEBUG: x=0.094056, struve=0.008761
DEBUG: x=0.094510, struve=0.008846
DEBUG: x=0.094965, struve=0.008931
DEBUG: x=0.095419, struve=0.009017
DEBUG: x=0.095873, struve=0.009103
DEBUG: x=0.096328, struve=0.009189
DEBUG: x=0.096782, struve=0.009276
DEBUG: x=0.097236, struve=0.009363
DEBUG: x=0.097691, struve=0.009451
DEBUG: x=0.098145, struve=0.009539
DEBUG: x=0.098600, struve=0.009627
DEBUG: x=0.099054, struve=0.009716
DEBUG: x=0.099508, struve=0.009805
DEBUG: x=0.099963, struve=0.009895
DEBUG: x=0.100417, struve=0.009985
DEBUG: x=0.100871, struve=0.010076
DEBUG: x=0.101326, struve=0.010167
DEBUG: x=0.101780, struve=0.010258
DEBUG: x=0.102235, struve=0.010350
DEBUG: x=0.102689, struve=0.010442
DEBUG: x=0.103143, struve=0.010534
DEBUG: x=0.103598, struve=0.010627
DEBUG: x=0.104052, struve=0.010721
DEBUG: x=0.104506, struve=0.010814
DEBUG: x=0.104961, struve=0.010909
DEBUG: x=0.105415, struve=0.011003
DEBUG: x=0.105870, struve=0.011098
DEBUG: x=0.106324, struve=0.011194
DEBUG: x=0.106778, struve=0.011289
